cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;Qt_Operações
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;mar/15;92,74%;99,23%;97,55%;97,72%;98,04%;98,38%;97,99%;99,69%;98,00%;76,84%;77,84%;83,57%;84,98%;82,32%;79,46%;95,75%;82,25%;90,99%;82,14%;81,67%;82,33%;82,19%;85,96%;100,00%;82,24%;99,75%;99,43%;99,68%;99,71%;99,63%;99,81%;99,88%;99,76%;89,34%;93,07%;91,38%;78,84%;99,98%;99,97%;98,59%;92,23%;90,78%;75,42%;84,37%;83,69%;87,88%;90,03%;96,67%;84,68%;95,01%;89,99%;90,49%;94,10%;95,43%;94,48%;31,24%;91,30%;100,00%;96,49%;93,32%;94,58%;95,67%;96,96%;95,72%;99,74%;95,01%;92,30%;77,54%;77,47%;81,55%;92,54%;97,98%;99,64%;86,49%;97,83%;97,35%;90,80%;97,72%;90,09%;99,88%;16,34%;94,55%;89,27%;88,23%;64,70%;80,61%;99,66%;99,61%;98,74%;83,43%;99,77%;99,92%;99,74%;99,64%;99,87%;99,81%;62,42%;99,78%;98,12%;96,90%;96,50%;97,11%;98,52%;98,86%;94,12%;97,35%;41,58%;61,80%;57,27%;46,98%;36,63%;29,54%;42,71%;42,35%;92,98%;96,94%;96,30%;79,46%;79,68%;66,72%;99,48%;90,50%;99,99%;98,60%;99,95%;99,93%;100,00%;99,99%;100,00%;99,80%;75,34%;87,68%;85,97%;59,79%;94,97%;99,93%;89,14%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;mar/15;2,59%;0,01%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,04%;0,11%;0,15%;0,12%;0,07%;0,07%;0,00%;0,12%;6,46%;14,88%;15,22%;14,15%;14,11%;3,25%;0,00%;14,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,68%;2,32%;2,96%;4,85%;0,01%;0,03%;0,00%;2,70%;2,45%;3,83%;1,50%;6,61%;5,49%;1,90%;0,00%;3,58%;0,20%;0,27%;0,29%;0,74%;0,39%;0,18%;0,00%;0,37%;0,00%;0,70%;2,87%;0,92%;0,65%;0,43%;0,07%;0,00%;1,14%;4,04%;15,67%;13,58%;9,27%;2,31%;0,14%;0,00%;7,23%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,25%;6,24%;33,30%;18,07%;0,23%;0,00%;0,00%;11,99%;0,23%;0,08%;0,26%;0,36%;0,13%;0,19%;37,58%;0,22%;0,32%;1,43%;0,42%;0,75%;0,08%;0,02%;0,00%;0,64%;10,22%;7,70%;7,65%;6,93%;3,74%;0,36%;0,08%;4,28%;1,05%;0,28%;0,27%;2,39%;1,75%;0,65%;0,00%;0,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,74%;5,63%;5,12%;1,71%;1,19%;0,07%;1,67%
b3S%;b3S - Cooperativa de Crédito Singulares;mar/15;3,17%;0,50%;2,16%;2,03%;1,78%;1,50%;1,94%;0,31%;1,81%;4,50%;12,52%;12,20%;14,50%;17,57%;20,48%;4,25%;13,02%;0,81%;1,73%;1,86%;2,27%;2,79%;2,74%;0,00%;2,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,47%;0,41%;0,32%;0,01%;0,01%;0,00%;1,41%;0,39%;5,42%;19,70%;13,36%;6,50%;2,41%;1,45%;0,22%;8,93%;3,38%;8,93%;8,25%;4,74%;3,66%;3,47%;66,73%;7,48%;0,00%;1,85%;2,97%;3,31%;3,10%;2,48%;2,83%;0,21%;3,04%;0,86%;2,48%;3,23%;3,25%;1,59%;0,62%;0,06%;2,18%;2,17%;2,64%;9,07%;2,28%;9,91%;0,12%;83,66%;5,42%;5,03%;4,84%;1,69%;0,23%;0,05%;0,00%;1,13%;3,98%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,50%;1,53%;2,90%;1,92%;1,31%;1,10%;5,82%;1,86%;0,11%;0,15%;0,02%;0,01%;0,00%;0,00%;0,00%;0,01%;0,66%;1,28%;1,34%;1,13%;0,12%;0,03%;0,00%;1,09%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,04%;3,23%;1,82%;0,33%;3,69%;0,00%;1,78%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/15;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,25%;0,54%;0,05%;0,03%;0,01%;0,05%;0,25%;0,00%;0,08%;0,12%;0,19%;0,00%;0,00%;0,00%;0,09%;0,00%;0,00%;0,08%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,02%;0,01%;0,00%;0,00%;0,06%;0,02%;0,00%;0,02%;0,03%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,00%;0,04%;0,02%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,11%;0,05%;0,08%;0,05%;0,00%;0,00%;0,00%
b4%;b4 - Banco de Desenvolvimento;mar/15;0,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,93%;0,88%;0,56%;2,37%;3,18%;5,01%;2,41%;2,11%;0,03%;0,02%;0,07%;0,21%;0,35%;0,72%;0,00%;0,12%;0,00%;0,24%;0,17%;0,35%;0,29%;0,06%;1,36%;0,00%;0,29%;0,37%;0,31%;0,73%;1,09%;1,03%;0,33%;0,00%;0,72%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,08%;0,14%;0,07%;0,01%;0,00%;0,07%;46,38%;29,87%;34,54%;45,57%;59,00%;69,69%;57,19%;52,88%;4,98%;1,46%;2,02%;16,34%;17,63%;30,09%;0,52%;7,32%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;18,30%;2,96%;6,01%;37,75%;0,01%;0,00%;0,03%
n1%;n1 - Não Bancário de Crédito;mar/15;1,22%;0,25%;0,25%;0,22%;0,17%;0,12%;0,08%;0,00%;0,17%;18,62%;9,54%;4,08%;0,39%;0,04%;0,00%;0,00%;4,61%;1,74%;1,25%;1,24%;1,26%;0,91%;8,05%;0,00%;1,24%;0,25%;0,57%;0,32%;0,29%;0,37%;0,19%;0,12%;0,24%;5,50%;4,20%;5,34%;16,30%;0,00%;0,00%;0,00%;4,68%;0,39%;0,18%;0,21%;0,82%;1,05%;1,60%;0,70%;0,69%;1,33%;0,79%;0,91%;0,21%;0,18%;1,16%;1,06%;0,72%;0,00%;0,72%;0,42%;0,30%;0,23%;0,05%;0,01%;0,00%;0,28%;2,43%;3,92%;4,88%;4,64%;2,54%;0,92%;0,31%;3,29%;0,00%;0,00%;0,04%;0,00%;0,00%;0,00%;0,00%;0,01%;0,45%;0,69%;0,31%;1,08%;0,06%;0,39%;0,14%;0,60%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,04%;0,08%;0,07%;0,02%;0,01%;0,00%;0,05%;1,69%;0,45%;0,49%;0,50%;0,62%;0,41%;0,02%;0,47%;0,32%;0,04%;0,06%;0,65%;0,79%;2,52%;0,00%;0,40%;0,01%;1,40%;0,05%;0,07%;0,00%;0,01%;0,00%;0,20%;0,47%;0,45%;0,99%;0,36%;0,14%;0,00%;7,38%
n2%;n2 - Não Bancário de Mercado de Capitais;mar/15;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,97%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C%;C - Conglomerado;mar/15;61,04%;44,16%;75,90%;75,43%;73,61%;70,17%;93,23%;99,68%;74,20%;52,75%;69,48%;73,08%;71,58%;75,55%;74,29%;95,57%;70,88%;82,70%;79,76%;79,26%;78,52%;75,81%;30,00%;100,00%;78,89%;9,56%;17,39%;16,69%;16,93%;17,96%;23,86%;41,04%;24,03%;79,68%;89,22%;87,89%;86,45%;99,61%;99,97%;98,59%;88,01%;61,96%;63,05%;78,90%;76,21%;80,60%;81,62%;96,64%;76,94%;67,04%;67,83%;61,20%;69,30%;60,00%;42,41%;20,24%;64,31%;99,99%;63,36%;80,51%;77,57%;72,05%;69,33%;94,71%;82,05%;75,51%;30,56%;73,84%;71,66%;73,66%;83,22%;97,10%;99,61%;79,91%;71,06%;90,45%;58,19%;92,53%;80,55%;99,88%;16,34%;80,15%;81,59%;87,27%;64,47%;80,86%;99,66%;99,61%;98,74%;82,54%;92,46%;87,06%;86,06%;80,36%;57,21%;44,47%;92,32%;80,79%;84,01%;82,64%;85,83%;94,56%;96,09%;94,16%;64,28%;89,57%;31,95%;48,06%;49,99%;38,56%;26,80%;16,16%;25,06%;31,57%;62,85%;79,66%;82,68%;70,21%;76,79%;62,28%;96,57%;78,19%;66,92%;37,95%;76,32%;88,52%;93,48%;93,35%;91,85%;81,00%;49,93%;69,66%;73,98%;50,18%;83,71%;99,49%;76,26%
I%;I - Instituição independente;mar/15;38,96%;55,84%;24,10%;24,57%;26,39%;29,83%;6,77%;0,32%;25,80%;47,25%;30,52%;26,92%;28,42%;24,45%;25,71%;4,43%;29,12%;17,30%;20,24%;20,74%;21,48%;24,19%;70,00%;0,00%;21,11%;90,44%;82,61%;83,31%;83,07%;82,04%;76,14%;58,96%;75,97%;20,32%;10,78%;12,11%;13,55%;0,39%;0,03%;1,41%;11,99%;38,04%;36,95%;21,10%;23,79%;19,40%;18,38%;3,36%;23,06%;32,96%;32,17%;38,80%;30,70%;40,00%;57,59%;79,76%;35,69%;0,01%;36,64%;19,49%;22,43%;27,95%;30,67%;5,29%;17,95%;24,49%;69,44%;26,16%;28,34%;26,34%;16,78%;2,90%;0,39%;20,09%;28,94%;9,55%;41,81%;7,47%;19,45%;0,12%;83,66%;19,85%;18,41%;12,73%;35,53%;19,14%;0,34%;0,39%;1,26%;17,46%;7,54%;12,94%;13,94%;19,64%;42,79%;55,53%;7,68%;19,21%;15,99%;17,36%;14,17%;5,44%;3,91%;5,84%;35,72%;10,43%;68,05%;51,94%;50,01%;61,44%;73,20%;83,84%;74,94%;68,43%;37,15%;20,34%;17,32%;29,79%;23,21%;37,72%;3,43%;21,81%;33,08%;62,05%;23,68%;11,48%;6,52%;6,65%;8,15%;19,00%;50,07%;30,34%;26,02%;49,82%;16,29%;0,51%;23,74%
1%;1 - Público;jun/15;52,29%;62,85%;43,99%;45,38%;49,64%;55,50%;59,51%;99,42%;50,05%;25,33%;27,00%;37,64%;41,95%;54,20%;72,93%;95,56%;38,46%;13,05%;10,20%;10,68%;12,21%;15,88%;8,27%;89,01%;11,59%;92,20%;83,35%;86,53%;86,34%;85,99%;83,01%;75,16%;82,92%;21,89%;22,00%;13,75%;14,35%;0,43%;0,00%;99,66%;20,36%;79,72%;66,21%;62,41%;64,29%;73,96%;85,42%;99,81%;69,11%;34,04%;27,36%;37,32%;25,01%;34,87%;61,07%;71,88%;32,12%;7,06%;44,95%;31,76%;37,83%;49,27%;60,70%;55,01%;32,71%;43,35%;75,78%;21,48%;24,83%;48,27%;83,87%;93,18%;84,26%;57,18%;33,69%;14,27%;39,49%;15,67%;5,22%;0,00%;4,15%;21,82%;46,50%;17,06%;12,42%;12,77%;19,86%;82,92%;98,95%;17,49%;19,07%;24,82%;24,63%;13,92%;38,97%;59,85%;0,00%;25,73%;27,92%;39,26%;48,41%;52,82%;80,51%;86,62%;29,46%;56,62%;56,09%;62,84%;66,01%;70,84%;82,30%;93,01%;95,26%;79,55%;76,15%;31,58%;31,96%;37,97%;43,85%;78,48%;100,00%;38,21%;47,22%;69,61%;34,64%;26,97%;17,92%;6,80%;5,03%;30,07%;54,83%;51,26%;44,60%;64,18%;22,81%;14,91%;23,79%
2%;2 - Privado Nacional;jun/15;33,73%;25,07%;46,78%;45,67%;42,75%;39,06%;36,14%;0,43%;42,43%;54,43%;59,74%;48,11%;42,82%;31,88%;24,46%;2,21%;47,17%;59,99%;54,63%;53,81%;53,43%;50,72%;75,45%;0,02%;53,74%;5,45%;8,79%;6,20%;6,86%;7,94%;10,60%;18,32%;10,55%;60,78%;57,62%;69,75%;40,65%;7,04%;0,08%;0,33%;60,03%;11,96%;26,13%;27,20%;20,51%;14,57%;10,10%;0,19%;20,67%;41,52%;53,10%;38,73%;47,01%;36,26%;23,82%;25,29%;44,63%;63,92%;38,45%;44,64%;42,52%;37,13%;26,16%;28,37%;32,02%;39,04%;16,48%;46,13%;47,70%;32,47%;10,44%;1,30%;0,13%;25,82%;51,83%;66,13%;37,82%;11,01%;11,19%;44,22%;2,62%;57,06%;37,11%;43,81%;27,91%;54,40%;31,85%;16,22%;0,21%;40,22%;46,79%;34,05%;32,39%;57,74%;51,66%;23,20%;6,53%;38,64%;48,30%;41,41%;34,99%;29,24%;12,59%;10,23%;55,80%;28,82%;21,35%;22,51%;22,00%;18,37%;12,11%;5,62%;4,66%;13,52%;11,58%;53,54%;49,25%;46,44%;47,02%;15,76%;0,00%;46,53%;17,06%;15,68%;36,46%;55,29%;78,93%;70,14%;94,21%;51,04%;30,26%;32,82%;35,52%;22,35%;62,22%;73,87%;61,95%
3%;3 - Privado com Controle Estrangeiro;jun/15;13,98%;12,08%;9,23%;8,95%;7,62%;5,44%;4,36%;0,15%;7,52%;20,24%;13,26%;14,25%;15,23%;13,93%;2,61%;2,24%;14,38%;26,96%;35,17%;35,51%;34,36%;33,40%;16,28%;10,97%;34,67%;2,34%;7,86%;7,27%;6,80%;6,06%;6,39%;6,53%;6,54%;17,33%;20,38%;16,49%;44,99%;92,53%;99,92%;0,01%;19,61%;8,33%;7,66%;10,39%;15,19%;11,47%;4,48%;0,00%;10,22%;24,44%;19,54%;23,95%;27,99%;28,87%;15,10%;2,83%;23,25%;29,02%;16,60%;23,60%;19,65%;13,60%;13,14%;16,63%;35,26%;17,61%;7,74%;32,39%;27,47%;19,26%;5,68%;5,52%;15,61%;17,00%;14,47%;19,60%;22,69%;73,32%;83,59%;55,78%;93,23%;21,12%;16,38%;39,12%;59,67%;32,83%;48,29%;0,86%;0,84%;42,29%;34,15%;41,13%;42,98%;28,33%;9,37%;16,94%;93,47%;35,63%;23,78%;19,33%;16,61%;17,93%;6,89%;3,15%;14,74%;14,56%;22,57%;14,65%;11,99%;10,80%;5,59%;1,37%;0,08%;6,93%;12,27%;14,88%;18,79%;15,60%;9,13%;5,75%;0,00%;15,26%;35,73%;14,71%;28,90%;17,74%;3,15%;23,06%;0,76%;18,89%;14,91%;15,92%;19,88%;13,47%;14,97%;11,22%;14,26%
b1%;b1 - Banco Comercial, Banco Múltiplo com Carteira Comercial ou Caixa Econômica;jun/15;92,80%;99,21%;97,77%;97,68%;98,04%;98,35%;97,94%;99,68%;98,00%;72,47%;77,16%;81,99%;85,83%;84,41%;81,12%;97,80%;81,91%;90,59%;81,77%;81,37%;82,00%;81,86%;87,09%;100,00%;81,93%;99,73%;99,36%;99,60%;99,63%;99,58%;99,81%;99,88%;99,73%;89,13%;92,92%;91,64%;78,10%;94,81%;99,89%;99,67%;92,12%;89,11%;84,75%;81,28%;83,02%;87,91%;90,33%;97,51%;84,80%;95,01%;89,12%;88,85%;94,45%;95,60%;94,70%;82,00%;91,32%;100,00%;96,16%;93,95%;94,62%;95,36%;97,21%;93,84%;99,80%;95,06%;94,55%;74,72%;78,68%;83,27%;92,76%;97,80%;98,93%;86,67%;97,42%;95,84%;89,73%;93,62%;88,81%;97,51%;97,38%;94,35%;88,26%;87,77%;68,86%;83,06%;99,38%;99,62%;99,86%;84,30%;99,52%;99,81%;99,85%;99,72%;99,90%;99,75%;74,81%;99,81%;98,07%;96,13%;95,65%;96,46%;98,78%;99,17%;96,49%;97,03%;66,60%;60,25%;56,14%;46,38%;35,20%;29,69%;42,92%;41,75%;93,27%;95,88%;95,74%;83,38%;77,09%;66,89%;96,13%;89,52%;100,00%;99,91%;99,80%;99,68%;100,00%;100,00%;100,00%;99,81%;75,75%;89,11%;80,72%;62,61%;94,77%;99,95%;88,86%
b2%;b2 - Banco Múltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de Câmbio;jun/15;2,51%;0,01%;0,03%;0,03%;0,02%;0,00%;0,00%;0,00%;0,02%;0,05%;0,12%;0,14%;0,13%;0,06%;0,06%;0,00%;0,12%;6,63%;15,21%;15,39%;14,38%;14,46%;2,75%;0,00%;14,69%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;4,79%;2,33%;3,09%;5,76%;0,02%;0,08%;0,00%;2,77%;3,48%;1,22%;2,82%;6,26%;5,18%;1,56%;0,00%;3,50%;0,15%;0,16%;0,35%;0,47%;0,26%;0,15%;0,00%;0,28%;0,00%;0,63%;2,29%;0,94%;0,69%;0,33%;0,08%;0,00%;1,03%;3,05%;17,43%;13,13%;7,96%;2,15%;0,10%;0,00%;7,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;5,88%;6,86%;28,79%;15,90%;0,54%;0,00%;0,00%;11,13%;0,48%;0,19%;0,15%;0,28%;0,10%;0,25%;25,19%;0,19%;0,37%;1,57%;0,35%;0,76%;0,07%;0,02%;0,00%;0,57%;17,67%;7,23%;7,46%;6,89%;3,44%;0,33%;0,08%;4,11%;1,95%;0,15%;0,34%;1,63%;1,45%;0,51%;0,00%;0,63%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,99%;5,58%;4,59%;1,60%;1,11%;0,05%;1,66%
b3S%;b3S - Cooperativa de Crédito Singulares;jun/15;3,15%;0,52%;1,94%;2,07%;1,77%;1,52%;1,99%;0,32%;1,80%;5,55%;12,44%;13,39%;13,68%;15,48%;18,82%;2,20%;13,11%;0,83%;1,73%;1,90%;2,28%;2,74%;2,53%;0,00%;2,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,43%;0,43%;0,35%;0,01%;0,01%;0,00%;0,33%;0,41%;6,12%;13,49%;14,84%;7,62%;2,30%;1,43%;0,01%;8,83%;3,51%;9,72%;9,79%;4,68%;3,62%;3,40%;12,64%;7,48%;0,00%;1,96%;2,99%;3,28%;3,31%;2,26%;4,20%;0,20%;3,09%;0,83%;2,77%;3,00%;3,16%;1,53%;0,72%;0,06%;2,20%;2,58%;4,15%;10,17%;6,38%;11,19%;2,49%;2,62%;5,62%;5,44%;4,76%;2,03%;0,12%;0,01%;0,00%;0,00%;4,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,47%;2,09%;3,37%;2,28%;1,09%;0,80%;3,48%;2,08%;0,21%;0,15%;0,02%;0,01%;0,00%;0,00%;0,00%;0,02%;0,79%;1,69%;1,76%;1,18%;0,15%;0,03%;0,00%;1,34%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,61%;3,86%;1,95%;0,29%;3,73%;0,00%;1,84%
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/15;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,19%;0,51%;0,07%;0,03%;0,02%;0,00%;0,23%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,11%;0,50%;0,31%;0,00%;0,00%;0,03%;0,21%;0,00%;0,03%;0,02%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,00%;0,03%;0,02%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,12%;0,05%;0,09%;0,05%;0,00%;0,00%;0,00%
